seed,event_found,verified_class,delta,dist_before,dist_after,components_after,orphan_count,controls_no_effect,frac_controls_ge_verified,node_id_removed,source,target,k,score
40,True,PATH_OPTIMIZER,3,32,35,1,0,1.0,0.0,927,1050,1869,4,3.382
41,True,PATH_OPTIMIZER,4,26,30,1,0,1.0,0.0,2222,1168,1905,4,4.326
42,True,PATH_OPTIMIZER,5,32,37,1,0,1.0,0.0,754,1478,1509,4,5.402
43,True,PATH_OPTIMIZER,3,27,30,1,0,1.0,0.0,384,856,2903,4,3.327
44,True,PATH_OPTIMIZER,4,29,33,1,0,1.0,0.0,1584,1480,2257,4,4.359
45,True,PATH_OPTIMIZER,4,28,32,1,0,1.0,0.0,2047,2325,2640,4,4.348
46,True,PATH_OPTIMIZER,4,28,32,1,0,1.0,0.0,856,45,1134,4,4.348
47,True,PATH_OPTIMIZER,4,29,33,1,0,1.0,0.0,609,599,2419,4,4.359
48,True,PATH_OPTIMIZER,4,28,32,1,0,1.0,0.0,2161,681,866,4,4.348
49,True,PATH_OPTIMIZER,5,27,32,1,0,1.0,0.0,237,646,2978,4,5.347
